Bournemouth,Aston Villa,-1
Chelsea,Swansea,0
Everton,Watford,0
Leicester,Sunderland,1
Man United,Tottenham,1
Norwich,Crystal Palace,-1
Arsenal,West Ham,-1
Newcastle,Southampton,0
Stoke,Liverpool,-1
West Brom,Man City,-1
Aston Villa,Man United,-1
Southampton,Everton,-1
Sunderland,Norwich,-1
Swansea,Newcastle,1
Tottenham,Stoke,0
Watford,West Brom,0
West Ham,Leicester,-1
Crystal Palace,Arsenal,-1
Man City,Chelsea,1
Liverpool,Bournemouth,1
Crystal Palace,Aston Villa,1
Leicester,Tottenham,0
Man United,Newcastle,0
Norwich,Stoke,0
Sunderland,Swansea,0
West Ham,Bournemouth,-1
Everton,Man City,-1
Watford,Southampton,0
West Brom,Chelsea,-1
Arsenal,Liverpool,0
Aston Villa,Sunderland,0
Bournemouth,Leicester,0
Chelsea,Crystal Palace,-1
Liverpool,West Ham,-1
Man City,Watford,1
Newcastle,Arsenal,-1
Stoke,West Brom,-1
Tottenham,Everton,0
Southampton,Norwich,1
Swansea,Man United,1
Arsenal,Stoke,1
Crystal Palace,Man City,-1
Everton,Chelsea,1
Man United,Liverpool,1
Norwich,Bournemouth,1
Watford,Swansea,1
West Brom,Southampton,0
Leicester,Aston Villa,1
Sunderland,Tottenham,-1
West Ham,Newcastle,1
Aston Villa,West Brom,-1
Bournemouth,Sunderland,1
Chelsea,Arsenal,1
Man City,West Ham,-1
Newcastle,Watford,-1
Stoke,Leicester,0
Swansea,Everton,0
Liverpool,Norwich,0
Southampton,Man United,-1
Tottenham,Crystal Palace,1
Leicester,Arsenal,-1
Liverpool,Aston Villa,1
Man United,Sunderland,1
Newcastle,Chelsea,0
Southampton,Swansea,1
Stoke,Bournemouth,1
Tottenham,Man City,1
West Ham,Norwich,0
Watford,Crystal Palace,-1
West Brom,Everton,-1
Aston Villa,Stoke,-1
Bournemouth,Watford,0
Chelsea,Southampton,-1
Crystal Palace,West Brom,1
Man City,Newcastle,1
Norwich,Leicester,-1
Sunderland,West Ham,0
Arsenal,Man United,1
Everton,Liverpool,0
Swansea,Tottenham,0
Chelsea,Aston Villa,1
Crystal Palace,West Ham,-1
Everton,Man United,-1
Man City,Bournemouth,1
Southampton,Leicester,0
Tottenham,Liverpool,0
Watford,Arsenal,-1
West Brom,Sunderland,1
Newcastle,Norwich,1
Swansea,Stoke,-1
Arsenal,Everton,1
Aston Villa,Swansea,-1
Leicester,Crystal Palace,1
Norwich,West Brom,-1
Stoke,Watford,-1
West Ham,Chelsea,1
Bournemouth,Tottenham,-1
Liverpool,Southampton,0
Man United,Man City,0
Sunderland,Newcastle,1
Chelsea,Liverpool,-1
Crystal Palace,Man United,0
Man City,Norwich,1
Newcastle,Stoke,0
Swansea,Arsenal,-1
Watford,West Ham,1
West Brom,Leicester,-1
Everton,Sunderland,1
Southampton,Bournemouth,1
Tottenham,Aston Villa,1
Bournemouth,Newcastle,-1
Leicester,Watford,1
Man United,West Brom,1
Norwich,Swansea,1
Stoke,Chelsea,1
Sunderland,Southampton,-1
West Ham,Everton,0
Arsenal,Tottenham,0
Aston Villa,Man City,0
Liverpool,Crystal Palace,-1
Chelsea,Norwich,1
Everton,Aston Villa,1
Man City,Liverpool,-1
Newcastle,Leicester,-1
Southampton,Stoke,-1
Swansea,Bournemouth,0
Watford,Man United,-1
West Brom,Arsenal,1
Tottenham,West Ham,1
Crystal Palace,Sunderland,-1
Aston Villa,Watford,-1
Bournemouth,Everton,0
Crystal Palace,Newcastle,1
Leicester,Man United,0
Man City,Southampton,1
Sunderland,Stoke,1
Liverpool,Swansea,1
Norwich,Arsenal,0
Tottenham,Chelsea,0
West Ham,West Brom,0
Arsenal,Sunderland,1
Chelsea,Bournemouth,-1
Man United,West Ham,0
Southampton,Aston Villa,0
Stoke,Man City,1
Swansea,Leicester,-1
Watford,Norwich,1
West Brom,Tottenham,0
Newcastle,Liverpool,1
Everton,Crystal Palace,0
Bournemouth,Man United,1
Crystal Palace,Southampton,1
Man City,Swansea,1
Norwich,Everton,0
Sunderland,Watford,-1
West Ham,Stoke,0
Aston Villa,Arsenal,-1
Liverpool,West Brom,0
Tottenham,Newcastle,-1
Leicester,Chelsea,1
Chelsea,Sunderland,1
Everton,Leicester,-1
Man United,Norwich,-1
Newcastle,Aston Villa,0
Southampton,Tottenham,-1
Stoke,Crystal Palace,-1
West Brom,Bournemouth,-1
Swansea,West Ham,0
Watford,Liverpool,1
Arsenal,Man City,1
Aston Villa,West Ham,0
Bournemouth,Crystal Palace,0
Chelsea,Watford,0
Liverpool,Leicester,1
Man City,Sunderland,1
Newcastle,Everton,-1
Southampton,Arsenal,1
Stoke,Man United,1
Swansea,West Brom,1
Tottenham,Norwich,1
Arsenal,Bournemouth,1
Crystal Palace,Swansea,0
Everton,Stoke,-1
Man United,Chelsea,0
Norwich,Aston Villa,1
Watford,Tottenham,-1
West Brom,Newcastle,1
West Ham,Southampton,1
Leicester,Man City,0
Sunderland,Liverpool,-1
