Hamburg,Bayern Munich,-1
FC Koln,Stuttgart,-1
Hannover,Darmstadt,-1
Hertha,Augsburg,0
Hoffenheim,Leverkusen,0
Ingolstadt,Mainz,1
M'gladbach,Dortmund,-1
Ein Frankfurt,Wolfsburg,1
Schalke 04,Werder Bremen,-1
Mainz,M'gladbach,1
Augsburg,Ein Frankfurt,0
Darmstadt,Schalke 04,-1
Dortmund,Ingolstadt,1
Leverkusen,Hannover,1
Stuttgart,Hamburg,1
Werder Bremen,Hertha,0
Bayern Munich,Hoffenheim,1
Wolfsburg,FC Koln,0
M'gladbach,Werder Bremen,1
Ein Frankfurt,Stuttgart,-1
Hannover,Mainz,-1
Hertha,Dortmund,0
Ingolstadt,Augsburg,1
Leverkusen,Bayern Munich,0
Schalke 04,Wolfsburg,1
Hamburg,FC Koln,0
Hoffenheim,Darmstadt,-1
Mainz,Schalke 04,1
Darmstadt,Leverkusen,-1
Dortmund,Hannover,1
FC Koln,Ein Frankfurt,1
Stuttgart,Hertha,1
Werder Bremen,Hoffenheim,0
Wolfsburg,Ingolstadt,1
Augsburg,Bayern Munich,-1
Hamburg,M'gladbach,1
Ein Frankfurt,Hamburg,0
Bayern Munich,Darmstadt,1
Hertha,Wolfsburg,0
Hoffenheim,Mainz,1
Ingolstadt,Werder Bremen,1
M'gladbach,FC Koln,1
Hannover,Augsburg,-1
Leverkusen,Dortmund,-1
Schalke 04,Stuttgart,0
FC Koln,Hertha,-1
Hamburg,Ingolstadt,0
Stuttgart,Hannover,-1
Werder Bremen,Darmstadt,0
Wolfsburg,Bayern Munich,-1
Augsburg,M'gladbach,0
Dortmund,Hoffenheim,1
Ein Frankfurt,Schalke 04,0
Mainz,Leverkusen,1
Hannover,Wolfsburg,-1
Ingolstadt,FC Koln,0
Bayern Munich,Mainz,-1
Darmstadt,Dortmund,-1
Hertha,Ein Frankfurt,1
Hoffenheim,Augsburg,1
Leverkusen,Werder Bremen,-1
M'gladbach,Stuttgart,1
Schalke 04,Hamburg,1
Augsburg,Leverkusen,0
Dortmund,Bayern Munich,0
Ein Frankfurt,Ingolstadt,0
FC Koln,Schalke 04,-1
Stuttgart,Hoffenheim,1
Werder Bremen,Hannover,1
Wolfsburg,M'gladbach,1
Hamburg,Hertha,1
Mainz,Darmstadt,0
Hertha,Schalke 04,1
Bayern Munich,Werder Bremen,1
Darmstadt,Augsburg,0
Hannover,FC Koln,-1
Hoffenheim,Wolfsburg,1
Ingolstadt,Stuttgart,0
M'gladbach,Ein Frankfurt,1
Dortmund,Mainz,1
Leverkusen,Hamburg,1
Schalke 04,M'gladbach,1
Ein Frankfurt,Hannover,1
FC Koln,Bayern Munich,-1
Hamburg,Hoffenheim,-1
Hertha,Ingolstadt,1
Werder Bremen,Mainz,0
Wolfsburg,Darmstadt,0
Augsburg,Dortmund,-1
Stuttgart,Leverkusen,-1
Leverkusen,Wolfsburg,1
Bayern Munich,Ein Frankfurt,1
Darmstadt,Stuttgart,0
Dortmund,Werder Bremen,1
Hannover,Hamburg,-1
Ingolstadt,Schalke 04,1
Mainz,Augsburg,1
Hoffenheim,FC Koln,0
M'gladbach,Hertha,1
Hertha,Hannover,0
Ein Frankfurt,Hoffenheim,-1
Hamburg,Darmstadt,-1
Ingolstadt,M'gladbach,1
Stuttgart,Bayern Munich,-1
Werder Bremen,Augsburg,-1
Wolfsburg,Mainz,0
FC Koln,Leverkusen,-1
Schalke 04,Dortmund,0
Hannover,M'gladbach,1
Augsburg,Stuttgart,1
Bayern Munich,Schalke 04,1
Darmstadt,Ingolstadt,1
Hoffenheim,Hertha,1
Leverkusen,Ein Frankfurt,1
Werder Bremen,Wolfsburg,1
Dortmund,Hamburg,1
Mainz,FC Koln,-1
Hamburg,Werder Bremen,1
FC Koln,Darmstadt,1
Hertha,Bayern Munich,-1
Ingolstadt,Hannover,0
Schalke 04,Leverkusen,-1
Stuttgart,Dortmund,-1
Wolfsburg,Augsburg,-1
Ein Frankfurt,Mainz,1
M'gladbach,Hoffenheim,1
Augsburg,FC Koln,0
Bayern Munich,M'gladbach,0
Darmstadt,Ein Frankfurt,-1
Dortmund,Wolfsburg,1
Hannover,Schalke 04,-1
Hoffenheim,Ingolstadt,1
Leverkusen,Hertha,1
Mainz,Hamburg,0
Werder Bremen,Stuttgart,1
Ein Frankfurt,Dortmund,1
FC Koln,Werder Bremen,0
Hamburg,Wolfsburg,-1
Hannover,Hoffenheim,1
Hertha,Darmstadt,-1
Ingolstadt,Bayern Munich,-1
M'gladbach,Leverkusen,1
Schalke 04,Augsburg,0
Stuttgart,Mainz,-1
Augsburg,Hamburg,-1
Bayern Munich,Hannover,1
Darmstadt,M'gladbach,-1
Dortmund,FC Koln,0
Hoffenheim,Schalke 04,-1
Leverkusen,Ingolstadt,1
Mainz,Hertha,0
Werder Bremen,Ein Frankfurt,1
Wolfsburg,Stuttgart,1
