Malaga,Sevilla,0
Ath Madrid,Las Palmas,1
Espanol,Getafe,1
La Coruna,Sociedad,0
Vallecano,Valencia,0
Ath Bilbao,Barcelona,-1
Betis,Villarreal,0
Levante,Celta,-1
Sp Gijon,Real Madrid,0
Granada,Eibar,-1
Villarreal,Espanol,1
Barcelona,Malaga,1
Celta,Vallecano,1
Real Madrid,Betis,1
Sociedad,Sp Gijon,0
Eibar,Ath Bilbao,1
Getafe,Granada,-1
Las Palmas,Levante,0
Sevilla,Ath Madrid,-1
Valencia,La Coruna,0
Levante,Sevilla,0
Ath Madrid,Barcelona,-1
Betis,Sociedad,1
Espanol,Real Madrid,-1
Sp Gijon,Valencia,-1
Ath Bilbao,Getafe,1
Celta,Las Palmas,0
Granada,Villarreal,-1
Malaga,Eibar,0
Vallecano,La Coruna,-1
Getafe,Malaga,1
Eibar,Ath Madrid,-1
Real Madrid,Granada,1
Sociedad,Espanol,-1
Valencia,Betis,0
Barcelona,Levante,1
La Coruna,Sp Gijon,-1
Las Palmas,Vallecano,-1
Sevilla,Celta,-1
Villarreal,Ath Bilbao,1
Ath Madrid,Getafe,1
Espanol,Valencia,1
Granada,Sociedad,-1
Ath Bilbao,Real Madrid,-1
Celta,Barcelona,1
Las Palmas,Sevilla,1
Levante,Eibar,0
Malaga,Villarreal,-1
Vallecano,Sp Gijon,1
Betis,La Coruna,-1
Valencia,Granada,1
Barcelona,Las Palmas,1
Eibar,Celta,0
Real Madrid,Malaga,0
Sevilla,Vallecano,1
Villarreal,Ath Madrid,1
Getafe,Levante,1
La Coruna,Espanol,1
Sociedad,Ath Bilbao,0
Sp Gijon,Betis,-1
Celta,Getafe,0
Espanol,Sp Gijon,-1
Granada,La Coruna,0
Las Palmas,Eibar,-1
Malaga,Sociedad,1
Sevilla,Barcelona,1
Ath Bilbao,Valencia,1
Ath Madrid,Real Madrid,0
Levante,Villarreal,1
Vallecano,Betis,-1
Barcelona,Vallecano,1
Betis,Espanol,-1
Eibar,Sevilla,0
Real Madrid,Levante,1
Valencia,Malaga,1
Getafe,Las Palmas,1
La Coruna,Ath Bilbao,0
Sociedad,Ath Madrid,-1
Villarreal,Celta,-1
