Fenerbahce,Eskisehirspor,1
Buyuksehyr,Antalyaspor,-1
Sivasspor,Galatasaray,0
Trabzonspor,Bursaspor,1
Gaziantepspor,Kasimpasa,-1
Konyaspor,Akhisar Belediyespor,0
Mersin Idman Yurdu,Besiktas,-1
Osmanlispor,Kayserispor,0
Genclerbirligi,Rizespor,-1
Kasimpasa,Buyuksehyr,1
Akhisar Belediyespor,Mersin Idman Yurdu,1
Besiktas,Trabzonspor,-1
Kayserispor,Konyaspor,0
Antalyaspor,Genclerbirligi,1
Bursaspor,Gaziantepspor,-1
Eskisehirspor,Sivasspor,1
Rizespor,Fenerbahce,0
Galatasaray,Osmanlispor,-1
Gaziantepspor,Besiktas,-1
Buyuksehyr,Bursaspor,1
Genclerbirligi,Kasimpasa,1
Konyaspor,Galatasaray,-1
Mersin Idman Yurdu,Kayserispor,-1
Eskisehirspor,Rizespor,0
Fenerbahce,Antalyaspor,1
Sivasspor,Osmanlispor,0
Trabzonspor,Akhisar Belediyespor,0
Akhisar Belediyespor,Gaziantepspor,0
Antalyaspor,Eskisehirspor,1
Bursaspor,Genclerbirligi,1
Galatasaray,Mersin Idman Yurdu,0
Besiktas,Buyuksehyr,1
Kasimpasa,Fenerbahce,-1
Osmanlispor,Konyaspor,-1
Rizespor,Sivasspor,0
Kayserispor,Trabzonspor,-1
Buyuksehyr,Akhisar Belediyespor,1
Mersin Idman Yurdu,Osmanlispor,-1
Eskisehirspor,Kasimpasa,-1
Rizespor,Antalyaspor,1
Sivasspor,Konyaspor,0
Trabzonspor,Galatasaray,-1
Fenerbahce,Bursaspor,1
Gaziantepspor,Kayserispor,1
Genclerbirligi,Besiktas,0
Akhisar Belediyespor,Genclerbirligi,1
Galatasaray,Gaziantepspor,1
Osmanlispor,Trabzonspor,1
Antalyaspor,Sivasspor,0
Besiktas,Fenerbahce,1
Konyaspor,Mersin Idman Yurdu,1
Bursaspor,Eskisehirspor,1
Kasimpasa,Rizespor,0
Kayserispor,Buyuksehyr,-1
Sivasspor,Mersin Idman Yurdu,0
Trabzonspor,Konyaspor,-1
Buyuksehyr,Galatasaray,-1
Gaziantepspor,Osmanlispor,1
Genclerbirligi,Kayserispor,1
Antalyaspor,Kasimpasa,0
