Lacko,Djokovic,-1
Mayer,Montanes,1
Baghdatis,Istomin,-1
Tursunov,Russell,1
Monaco,Gulbis,-1
Giraldo,Querrey,-1
Sela,Nieminen,-1
Fognini,BogomolovJr,1
Guez,Gasquet,-1
Davydenko,Kubot,1
CarrenoBusta,Benneteau,-1
Robredo,Rosol,1
Groth,Pospisil,-1
Mahut,Ebden,-1
Falla,Kukushkin,1
Wawrinka,Golubev,1
Gonzalez,Ferrer,-1
Johnson,Mannarino,-1
Berankis,Dolgopolov,-1
Chardy,HutaGalung,1
Thompson,Janowicz,-1
Ramos,Andujar,-1
Mayer,Kudla,1
Youzhny,Struff,1
GarciaLopez,Haas,1
Berlocq,RogerVasselin,-1
Thiem,Sousa,1
Anderson,Vesely,1
Karlovic,Dodig,-1
Hajek,Dzumhur,-1
Wu,DeSchepper,-1
Berdych,Nedovyesov,1
Duckworth,Federer,-1
Stepanek,Kavcic,-1
Gabashvili,Stakhovsky,1
Verdasco,Zhang,1
Brands,Simon,-1
Cilic,Granollers,1
Bellucci,Reister,1
Tsonga,Volandri,1
Klizan,Isner,1
Rola,Delbonis,1
Przysiezny,Zeballos,1
Robert,Bedene,1
Devvarman,Lopez,-1
Berrer,Llodra,1
Millot,Odesnik,1
Murray,Soeda,1
Williams,DelPotro,-1
BautistaAgut,Smyczek,1
Kyrgios,Becker,1
Paire,Dancevic,1
Klahn,Dimitrov,-1
Wang,Lu,-1
Gojowczyk,Hanescu,-1
Raonic,GimenoTraver,1
Matosevic,Nishikori,-1
Lajovic,Pouille,1
Haase,Young,-1
Seppi,Hewitt,1
Harrison,Monfils,-1
Kamke,Sock,-1
Kokkinakis,Sijsling,1
Nadal,Tomic,1
Mayer,Djokovic,-1
Tursunov,Istomin,-1
Querrey,Gulbis,1
Fognini,Nieminen,1
Davydenko,Gasquet,-1
Robredo,Benneteau,1
Ebden,Pospisil,-1
Wawrinka,Falla,1
Mannarino,Ferrer,-1
Chardy,Dolgopolov,1
Andujar,Janowicz,-1
Youzhny,Mayer,-1
RogerVasselin,GarciaLopez,1
Anderson,Thiem,1
Dzumhur,Dodig,-1
Berdych,DeSchepper,1
Kavcic,Federer,-1
Verdasco,Gabashvili,-1
Cilic,Simon,-1
Tsonga,Bellucci,1
Rola,Klizan,-1
Robert,Przysiezny,1
Berrer,Lopez,-1
Murray,Millot,1
BautistaAgut,DelPotro,1
Paire,Kyrgios,1
Lu,Dimitrov,-1
Raonic,Hanescu,1
Lajovic,Nishikori,-1
Seppi,Young,-1
Sock,Monfils,-1
Nadal,Kokkinakis,1
Istomin,Djokovic,-1
Fognini,Querrey,1
Robredo,Gasquet,1
Chardy,Ferrer,-1
Mayer,Janowicz,1
Anderson,RogerVasselin,1
Berdych,Dzumhur,1
Gabashvili,Federer,-1
Tsonga,Simon,1
Robert,Klizan,1
Murray,Lopez,1
Paire,BautistaAgut,-1
Raonic,Dimitrov,-1
Young,Nishikori,-1
Nadal,Monfils,1
Fognini,Djokovic,-1
Wawrinka,Robredo,1
Mayer,Ferrer,-1
Berdych,Anderson,1
Tsonga,Federer,-1
Murray,Robert,1
Dimitrov,BautistaAgut,1
Nadal,Nishikori,1
Wawrinka,Djokovic,1
Berdych,Ferrer,1
Murray,Federer,-1
Nadal,Dimitrov,1
Berdych,Wawrinka,-1
Nadal,Federer,1
Nadal,Wawrinka,-1
