CarrenoBusta,Federer,-1
Devvarman,Nava,1
Kamke,Lorenzi,1
Benneteau,Berankis,1
Lacko,Querrey,-1
Hajek,Kudla,1
Mannarino,Cuevas,-1
Simon,Hewitt,1
Petzschner,Cilic,-1
Stepanek,Kyrgios,-1
Troicki,Blake,1
Monaco,GimenoTraver,-1
Becker,Chardy,-1
Agut,Muller,1
Nieminen,Mathieu,1
Tsonga,Bedene,1
Matosevic,Ferrer,-1
Johnson,Montanes,-1
Sousa,Soeda,1
Granollers,Lopez,-1
Marchenko,Anderson,-1
Struff,Donskoy,-1
Darcis,Llodra,-1
Raonic,Malisse,1
HaiderMaurer,Almagro,-1
Alund,RogerVasselin,-1
Kavcic,Duckworth,1
Seppi,Mayer,1
Zopp,Robredo,-1
Sijsling,Melzer,1
Gulbis,Silva,1
Berdych,Monfils,-1
Stakhovsky,Gasquet,-1
Przysiezny,Williams,1
Serra,Davydenko,-1
Mayer,Istomin,-1
Ramos,Janowicz,-1
Schepper,Haase,-1
Pospisil,Zeballos,-1
Wawrinka,Bakker,1
Levine,Nishikori,-1
Zemlja,Giraldo,1
Kubot,Teixeira,1
Paire,Baghdatis,1
Beck,Fognini,-1
Riba,Rosol,-1
Klizan,Russell,1
Nadal,Brands,1
Verdasco,Gicquel,1
Delbonis,Reister,1
Youzhny,Andujar,1
Berlocq,Isner,-1
Kuznetsov,Harrison,-1
Sock,GarciaLopez,1
Haas,Rufin,1
Vesely,Kohlschreiber,-1
Bolelli,Lu,-1
Tomic,Hanescu,-1
Dolgopolov,Tursunov,-1
Falla,Dimitrov,-1
Kuznetsov,Pouille,-1
Dodig,Pella,-1
Djokovic,Goffin,1
Devvarman,Federer,-1
Benneteau,Kamke,1
Hajek,Querrey,-1
Simon,Cuevas,1
Kyrgios,Cilic,-1
GimenoTraver,Troicki,-1
Agut,Chardy,-1
Tsonga,Nieminen,1
Montanes,Ferrer,-1
Lopez,Sousa,1
Donskoy,Anderson,-1
Raonic,Llodra,1
RogerVasselin,Almagro,-1
Seppi,Kavcic,1
Sijsling,Robredo,-1
Monfils,Gulbis,1
Przysiezny,Gasquet,-1
Istomin,Davydenko,-1
Haase,Janowicz,-1
Wawrinka,Zeballos,1
Zemlja,Nishikori,-1
Paire,Kubot,1
Rosol,Fognini,-1
Nadal,Klizan,1
Verdasco,Tipsarevic,-1
Youzhny,Delbonis,1
Harrison,Isner,-1
Haas,Sock,1
Tursunov,Hanescu,-1
Pouille,Dimitrov,-1
Djokovic,Pella,1
Benneteau,Federer,-1
Simon,Querrey,1
Troicki,Cilic,1
Tsonga,Chardy,1
Lopez,Ferrer,-1
Raonic,Anderson,-1
Seppi,Almagro,-1
Monfils,Robredo,-1
Davydenko,Gasquet,-1
Wawrinka,Janowicz,1
Paire,Nishikori,-1
Nadal,Fognini,1
Youzhny,Tipsarevic,1
Haas,Isner,-1
Hanescu,Kohlschreiber,-1
Djokovic,Dimitrov,1
Simon,Federer,-1
Tsonga,Troicki,1
Anderson,Ferrer,-1
Robredo,Almagro,1
Wawrinka,Gasquet,1
Nadal,Nishikori,1
Haas,Youzhny,1
Djokovic,Kohlschreiber,1
Tsonga,Federer,1
Robredo,Ferrer,-1
Nadal,Wawrinka,1
Djokovic,Haas,1
Ferrer,Tsonga,1
Djokovic,Nadal,-1
Nadal,Ferrer,1
