Houston Rockets,Los Angeles Lakers,108,90
Orlando Magic,New Orleans Pelicans,84,101
Dallas Mavericks,San Antonio Spurs,100,101
Brooklyn Nets,Boston Celtics,105,121
Milwaukee Bucks,Charlotte Hornets,106,108
Detroit Pistons,Denver Nuggets,79,89
Philadelphia 76ers,Indiana Pacers,91,103
Minnesota Timberwolves,Memphis Grizzlies,101,105
Washington Wizards,Miami Heat,95,107
Chicago Bulls,New York Knicks,104,80
Los Angeles Lakers,Phoenix Suns,99,119
Oklahoma City Thunder,Portland Trail Blazers,89,106
Golden State Warriors,Sacramento Kings,95,77
Atlanta Hawks,Toronto Raptors,102,109
Houston Rockets,Utah Jazz,104,93
New York Knicks,Cleveland Cavaliers,95,90
Utah Jazz,Dallas Mavericks,102,120
Oklahoma City Thunder,Los Angeles Clippers,90,93
Detroit Pistons,Minnesota Timberwolves,91,97
Washington Wizards,Orlando Magic,105,98
Cleveland Cavaliers,Chicago Bulls,114,108
Memphis Grizzlies,Indiana Pacers,97,89
Los Angeles Clippers,Los Angeles Lakers,118,111
Philadelphia 76ers,Milwaukee Bucks,81,93
San Antonio Spurs,Phoenix Suns,89,94
Portland Trail Blazers,Sacramento Kings,94,103
Indiana Pacers,Atlanta Hawks,92,102
Memphis Grizzlies,Charlotte Hornets,71,69
Brooklyn Nets,Detroit Pistons,102,90
Los Angeles Lakers,Golden State Warriors,104,127
Boston Celtics,Houston Rockets,90,104
Chicago Bulls,Minnesota Timberwolves,106,105
Dallas Mavericks,New Orleans Pelicans,109,104
Denver Nuggets,Oklahoma City Thunder,91,102
Toronto Raptors,Orlando Magic,108,95
Miami Heat,Philadelphia 76ers,114,96
Phoenix Suns,Utah Jazz,91,118
Milwaukee Bucks,Washington Wizards,97,108
Sacramento Kings,Los Angeles Clippers,98,92
Toronto Raptors,Miami Heat,102,107
Charlotte Hornets,New York Knicks,93,96
Golden State Warriors,Portland Trail Blazers,95,90
Oklahoma City Thunder,Brooklyn Nets,85,116
Boston Celtics,Dallas Mavericks,113,118
Sacramento Kings,Denver Nuggets,110,105
Utah Jazz,Los Angeles Clippers,101,107
New Orleans Pelicans,Memphis Grizzlies,81,93
Houston Rockets,Philadelphia 76ers,104,93
Orlando Magic,Chicago Bulls,90,98
Milwaukee Bucks,Indiana Pacers,87,81
Phoenix Suns,Los Angeles Lakers,112,106
