#,P1,Skill,Uncertainty
1,Wawrinka,43.17,5.75
2,Nadal,42.02,6.36
3,Federer,40.54,7.46
4,Berdych,39.96,7.83
5,Djokovic,38.57,8.78
6,Murray,38.14,8.99
7,Ferrer,38.12,8.93
8,Dimitrov,37.92,9.01
9,Robredo,35.59,10.71
10,Tsonga,35.06,10.75
11,Fognini,34.89,10.96
12,Nishikori,34.77,10.97
13,Anderson,34.61,10.82
14,BautistaAgut,34.50,11.05
15,Mayer,34.45,10.38
16,Robert,34.30,11.05
17,Pospisil,33.84,11.92
18,Dodig,33.40,11.98
19,Istomin,30.92,12.48
20,Monfils,30.87,12.36
21,Gabashvili,30.86,12.68
22,Lopez,30.51,12.56
23,Querrey,30.46,12.49
24,Gasquet,30.41,12.81
25,Paire,30.30,12.77
26,Raonic,30.29,12.83
27,Chardy,30.25,12.51
28,Young,30.19,12.45
29,Klizan,30.17,12.77
30,Simon,30.10,12.72
31,Janowicz,29.84,12.68
32,RogerVasselin,29.82,12.89
33,Falla,26.81,13.64
34,DeSchepper,26.22,13.64
35,Silva,25.95,14.62
36,Kokkinakis,25.90,13.50
37,Zopp,25.79,14.00
38,Kuznetsov,25.75,14.54
39,Millot,25.69,13.68
40,Rochus,25.69,14.30
41,Tipsarevic,25.64,14.18
42,Schepper,25.61,14.49
43,Reynolds,25.60,14.52
44,Malisse,25.59,14.20
45,Riba,25.57,14.29
46,Olivetti,25.56,14.00
47,Mannarino,25.53,13.68
48,Kavcic,25.51,13.55
49,Thiem,25.48,13.64
50,Lu,25.47,13.71
51,Reid,25.43,14.29
52,Alund,25.36,15.03
53,Benneteau,25.30,13.78
54,Zemlja,25.29,14.35
55,Cuevas,25.29,14.38
56,Nieminen,25.27,13.59
57,Agut,25.27,14.27
58,Altamirano,25.26,14.57
59,Rufin,25.25,14.31
60,Marchenko,25.24,14.46
61,Ward,25.23,14.19
62,Youzhny,25.22,13.88
63,Ram,25.22,14.83
64,Martin,25.20,14.31
65,Przysiezny,25.17,13.67
66,Bakker,25.17,14.54
67,Ebden,25.17,13.45
68,Edmund,25.16,14.57
69,Gulbis,25.15,13.72
70,Nava,25.15,14.38
71,Bellucci,25.14,13.69
72,Gicquel,25.11,13.96
73,Pella,25.09,14.60
74,DelPotro,25.06,13.63
75,Teixeira,25.05,14.40
76,Mathieu,25.04,14.21
77,Petzschner,25.04,14.39
78,Lorenzi,25.02,14.47
79,Goffin,25.01,14.55
80,Knittel,25.01,14.76
81,Bolelli,24.97,14.31
82,Elias,24.94,14.78
83,DutraSilva,24.93,14.54
84,Serra,24.92,14.60
85,HaiderMaurer,24.74,14.48
86,Kohlschreiber,24.70,14.24
87,Davydenko,24.70,13.78
88,Beck,24.67,14.37
89,Andreev,24.65,14.71
90,Evans,24.61,14.63
91,Andujar,24.60,13.71
92,Lajovic,24.59,13.75
93,Fabbiano,24.58,14.67
94,Verdasco,24.58,13.56
95,Ungur,24.56,14.15
96,Blake,24.56,14.74
97,Darcis,24.55,14.59
98,Donskoy,24.53,14.33
99,Baker,24.53,14.50
100,Melzer,24.52,14.24
101,Bogomolov,24.49,14.46
102,Tursunov,24.44,13.58
103,Sock,24.44,13.85
104,Almagro,24.44,14.73
105,Levine,24.43,14.19
106,GarciaLopez,24.43,13.76
107,Dolgopolov,24.40,13.55
108,Hanescu,24.39,13.72
109,Troicki,24.38,14.17
110,Kyrgios,24.36,13.63
111,Muller,24.35,14.30
112,Berrer,24.34,13.52
113,DeBakker,24.30,14.53
114,Rola,24.22,13.68
115,Brown,24.18,14.21
116,Cilic,24.12,13.76
117,Seppi,24.01,13.70
118,Dzumhur,21.66,13.20
119,Golubev,21.40,13.79
120,Tomic,21.05,13.96
121,Gonzalez,20.97,13.88
122,Duckworth,20.96,13.89
123,Nedovyesov,20.84,13.89
124,Soeda,20.75,13.60
