#,P1,Skill,Uncertainty
1,Nadal,42.41,3.04
2,Wawrinka,41.87,3.37
3,Ferrer,36.96,3.31
4,Robredo,36.52,3.56
5,Djokovic,36.42,3.52
6,Berdych,35.65,3.84
7,Tsonga,35.65,3.46
8,Nishikori,35.33,4.05
9,Federer,35.29,3.59
10,Dimitrov,33.47,3.81
11,Troicki,32.50,4.80
12,Simon,32.37,4.02
13,Almagro,32.22,4.77
14,Murray,32.04,4.83
15,Gasquet,31.86,4.02
16,Anderson,31.64,3.98
17,Isner,31.49,4.70
18,Fognini,31.43,4.29
19,Monfils,31.38,4.33
20,BautistaAgut,31.21,4.94
21,Raonic,30.50,4.09
22,Chardy,30.44,4.47
23,Gabashvili,30.32,5.63
24,Seppi,30.11,4.40
25,Lopez,30.10,4.27
26,Klizan,29.67,4.80
27,Kohlschreiber,29.53,5.62
28,Youzhny,29.43,4.19
29,Janowicz,29.24,4.33
30,Istomin,29.15,4.44
31,Young,29.01,5.59
32,Robert,28.84,5.11
33,Paire,28.79,4.30
34,Davydenko,28.61,4.38
35,Dodig,28.02,5.49
36,Benneteau,28.01,4.80
37,Hanescu,27.97,4.46
38,Querrey,27.74,4.27
39,Thiem,27.67,5.99
40,Lu,27.35,5.39
41,Cilic,27.28,4.48
42,Mayer,26.95,3.87
43,Pella,26.82,6.19
44,Tipsarevic,26.75,5.45
45,RogerVasselin,26.54,4.84
46,Lajovic,26.19,6.34
47,Pospisil,26.06,5.15
48,Kokkinakis,25.90,5.97
49,Zemlja,25.80,6.30
50,Sock,25.67,5.03
51,Kavcic,25.67,4.97
52,Millot,25.57,6.18
53,Przysiezny,25.41,5.18
54,Cuevas,25.34,5.91
55,Falla,25.33,5.58
56,Nieminen,25.27,5.04
57,Tursunov,25.22,4.95
58,DeSchepper,25.05,6.27
59,Altamirano,25.00,8.33
60,Baker,25.00,8.33
61,Ward,25.00,8.33
62,Ungur,25.00,8.33
63,Elias,25.00,8.33
64,Reid,25.00,8.33
65,Edmund,25.00,8.33
66,DutraSilva,25.00,8.33
67,Knittel,25.00,8.33
68,Ram,25.00,8.33
69,Bogomolov,25.00,8.33
70,Andreev,25.00,8.33
71,Rochus,25.00,8.33
72,DeBakker,25.00,8.33
73,Reynolds,25.00,8.33
74,Olivetti,25.00,8.33
75,Martin,25.00,8.33
76,Evans,25.00,8.33
77,Fabbiano,25.00,8.33
78,Brown,25.00,8.33
79,Donskoy,24.97,6.25
80,Berrer,24.84,5.90
81,Verdasco,24.83,5.12
82,Kyrgios,24.82,5.04
83,Bellucci,24.63,6.09
84,Agut,24.48,5.91
85,Haas,24.26,4.10
86,Harrison,24.11,5.61
87,Gulbis,24.05,4.96
88,Rola,23.79,6.06
89,Rosol,23.72,5.61
90,Devvarman,23.66,5.44
91,GarciaLopez,23.65,4.94
92,Gonzalez,23.18,7.36
93,Ebden,23.17,5.87
94,Goffin,23.04,7.35
95,Nedovyesov,22.83,7.27
96,Marchenko,22.78,7.36
97,DelPotro,22.72,5.98
98,Llodra,22.60,5.55
99,Bakker,22.59,7.32
100,HaiderMaurer,22.55,7.31
101,Levine,22.34,7.21
102,Volandri,22.34,7.17
103,Petzschner,22.13,7.24
104,Haase,22.09,5.44
105,Dolgopolov,21.99,5.44
106,Montanes,21.98,5.39
107,Guez,21.73,6.99
108,Sijsling,21.63,5.31
109,Serra,21.58,7.04
110,BogomolovJr,21.57,6.98
111,Gicquel,21.55,7.20
112,Dancevic,21.55,7.20
113,Bolelli,21.55,7.20
114,Golubev,21.55,7.20
115,Pouille,21.50,5.57
116,Rufin,21.46,7.03
117,Kubot,21.44,5.57
118,Andujar,21.38,5.30
119,Zeballos,21.23,5.55
120,HutaGalung,21.23,6.92
121,Sousa,21.18,5.40
122,Hajek,21.12,5.45
123,Klahn,21.06,6.98
124,GimenoTraver,21.00,5.40
125,Dzumhur,20.73,5.38
126,Blake,20.62,6.93
127,Melzer,20.61,7.17
128,Thompson,20.61,7.17
129,Zopp,20.61,7.17
130,Kukushkin,20.61,7.17
131,Wang,20.61,7.17
132,Nava,20.61,7.17
133,Muller,20.61,7.17
134,Mahut,20.61,7.17
135,Zhang,20.61,7.17
136,Kamke,20.57,5.40
137,Mannarino,20.54,5.49
138,Gojowczyk,20.40,6.94
139,Karlovic,20.27,6.89
140,Duckworth,20.16,6.66
141,Smyczek,20.16,6.90
142,Beck,20.16,6.90
143,Hewitt,19.78,6.20
144,Delbonis,19.70,5.25
145,Matosevic,19.69,6.71
146,CarrenoBusta,19.63,6.37
147,Mathieu,19.61,6.80
148,Bedene,19.39,6.29
149,Vesely,19.38,6.56
150,Brands,19.33,6.75
151,Malisse,19.31,6.91
152,Odesnik,19.23,6.88
153,Tomic,19.15,6.78
154,Soeda,19.10,6.50
155,Schepper,19.01,6.87
156,Alund,19.01,6.87
157,Darcis,19.01,6.87
158,Wu,19.01,6.87
159,Lorenzi,19.01,6.87
160,Lacko,18.78,6.52
161,Baghdatis,18.72,6.05
162,Silva,18.68,6.61
163,Ramos,18.52,6.32
164,Riba,18.49,6.71
165,Sela,18.37,6.78
166,Russell,18.03,6.33
167,Berlocq,17.75,6.20
168,Groth,17.67,6.68
169,Stakhovsky,17.61,6.35
170,Teixeira,17.45,6.61
171,Berankis,17.34,6.15
172,Stepanek,17.21,6.14
173,Johnson,16.93,6.24
174,Monaco,16.93,6.24
175,Becker,16.93,6.24
176,Giraldo,16.90,6.05
177,Granollers,16.42,6.21
178,Struff,16.23,6.10
179,Williams,16.21,5.97
180,Kudla,16.04,5.74
181,Kuznetsov,15.62,5.96
182,Reister,15.29,5.95
