#,P1,Skill,Uncertainty
1,Nadal,45.75,3.40
2,Djokovic,45.07,3.77
3,Murray,45.07,3.98
4,Ferrer,44.21,4.44
5,Wawrinka,44.07,4.62
6,Federer,42.30,5.78
7,Berdych,42.10,5.88
8,Robredo,41.87,6.07
9,Tsonga,41.75,6.04
10,Nishikori,40.39,7.00
11,Anderson,39.82,7.13
12,DelPotro,39.77,7.56
13,Janowicz,39.18,7.50
14,Dimitrov,39.08,7.48
15,BautistaAgut,39.04,8.40
16,Paire,38.57,8.27
17,Troicki,38.37,8.92
18,Gasquet,37.92,8.25
19,Monfils,37.08,9.10
20,Almagro,36.73,9.38
21,Dodig,35.42,9.87
22,Isner,35.41,10.29
23,Simon,35.26,9.53
24,Youzhny,35.19,9.41
25,Seppi,34.87,9.65
26,Gulbis,34.85,10.19
27,Lopez,34.67,9.90
28,Robert,34.60,10.48
29,Fognini,34.10,10.14
30,Haas,32.55,10.29
31,Raonic,32.11,10.58
32,Verdasco,32.00,10.47
33,Zemlja,31.89,11.49
34,Davydenko,31.69,11.50
35,Young,31.58,12.17
36,Cilic,31.51,11.34
37,Lu,31.38,11.74
38,Melzer,30.83,11.72
39,Chardy,30.33,10.72
40,Tomic,29.94,11.55
41,Gabashvili,29.55,12.49
42,Klizan,29.54,11.77
43,Querrey,29.26,11.35
44,Benneteau,29.12,11.70
45,Mayer,28.16,10.34
46,Sijsling,27.96,11.81
47,Brown,27.84,13.03
48,Kohlschreiber,27.63,12.80
49,Kokkinakis,27.62,13.18
50,Darcis,27.61,13.64
51,Pospisil,27.38,12.32
52,Kubot,27.32,11.99
53,Istomin,27.29,11.92
54,Hanescu,26.87,12.15
55,Berrer,26.38,13.52
56,Przysiezny,26.20,12.16
57,Lajovic,26.06,13.68
58,Cuevas,25.95,13.51
59,Evans,25.85,14.57
60,Reynolds,25.79,13.62
61,Struff,25.76,12.84
62,Thiem,25.68,13.75
63,Bellucci,25.60,13.59
64,Millot,25.59,13.75
65,RogerVasselin,25.56,12.03
66,Altamirano,25.53,14.67
67,DeSchepper,25.47,12.90
68,Llodra,25.41,12.96
69,Kyrgios,25.38,12.92
70,Olivetti,25.30,14.43
71,Sock,25.23,12.74
72,Mannarino,24.95,12.05
73,Baker,24.73,14.39
74,Martin,24.72,14.35
75,Agut,24.37,13.80
76,Fabbiano,24.33,14.49
77,Rola,24.27,13.74
78,Stakhovsky,23.99,12.64
79,Wang,23.94,13.82
80,Monaco,23.72,13.00
81,Pella,23.38,13.45
82,Tipsarevic,23.24,13.12
83,Levine,23.07,13.22
84,Donskoy,22.95,13.15
85,Ram,22.63,13.51
86,Devvarman,22.29,13.13
87,Nieminen,22.17,12.53
88,Mathieu,21.88,13.48
89,Dzumhur,21.75,13.26
90,Bakker,21.74,13.95
91,Golubev,21.57,14.04
92,Bogomolov,21.50,13.63
93,Kavcic,21.46,12.25
94,Nedovyesov,21.34,13.89
95,Gonzalez,21.31,13.72
96,Ebden,21.21,13.12
97,Dancevic,21.21,13.78
98,Blake,21.10,13.14
99,Smyczek,21.02,13.78
100,Klahn,20.98,13.90
