#,P1,Skill,Uncertainty
1,Golden State Warriors,33.80,1.79
2,Atlanta Hawks,31.54,1.50
3,Portland Trail Blazers,31.26,1.49
4,Memphis Grizzlies,31.08,1.42
5,Houston Rockets,30.45,1.49
6,Dallas Mavericks,29.66,1.43
7,Los Angeles Clippers,29.62,1.41
8,Washington Wizards,29.59,1.36
9,Toronto Raptors,29.22,1.43
10,San Antonio Spurs,28.66,1.36
11,Chicago Bulls,27.59,1.39
12,Phoenix Suns,26.74,1.37
13,Cleveland Cavaliers,26.70,1.30
14,New Orleans Pelicans,26.59,1.34
15,Oklahoma City Thunder,26.39,1.36
16,Milwaukee Bucks,26.19,1.37
17,Denver Nuggets,24.86,1.37
18,Miami Heat,24.86,1.39
19,Sacramento Kings,24.45,1.38
20,Charlotte Hornets,24.22,1.36
21,Brooklyn Nets,24.10,1.37
22,Utah Jazz,23.76,1.44
23,Los Angeles Lakers,23.75,1.42
24,Detroit Pistons,23.43,1.35
25,Orlando Magic,22.97,1.32
26,Indiana Pacers,22.68,1.37
27,Boston Celtics,22.55,1.48
28,Philadelphia 76ers,19.09,1.66
29,Minnesota Timberwolves,18.52,1.60
30,New York Knicks,17.28,1.63
