#,P1,Skill,Uncertainty
1,Nadal,46.05,4.13
2,Murray,45.32,4.93
3,Djokovic,44.95,4.74
4,Wawrinka,44.31,4.86
5,Ferrer,44.27,5.29
6,Federer,43.16,6.21
7,Robredo,42.37,6.85
8,Tsonga,41.62,7.59
9,Berdych,41.48,7.06
10,Troicki,41.16,6.58
11,Paire,40.40,6.14
12,Monfils,40.21,7.34
13,Nishikori,39.61,7.62
14,Gasquet,39.22,7.00
15,Anderson,38.81,8.55
16,Janowicz,38.74,6.40
17,BautistaAgut,38.03,8.02
18,Simon,37.99,9.51
19,Raonic,37.76,8.47
20,Dimitrov,37.46,9.32
21,Cilic,37.04,8.62
22,Karlovic,36.77,8.99
23,Lu,36.52,6.65
24,Isner,36.34,9.46
25,DelPotro,36.25,9.67
26,Dodig,36.07,9.02
27,Thiem,35.62,9.17
28,Davydenko,34.49,9.89
29,Kyrgios,33.75,10.18
30,Fognini,33.63,9.66
31,Reynolds,33.58,10.12
32,Sijsling,33.56,9.17
33,Seppi,33.55,9.68
34,Melzer,33.35,6.70
35,Bellucci,33.33,11.15
36,Berrer,32.95,11.22
37,Lopez,32.76,10.75
38,Lajovic,32.72,10.07
39,Robert,32.59,9.52
40,Almagro,32.33,9.26
41,Querrey,32.19,10.05
42,Pospisil,31.94,9.11
43,Istomin,31.18,8.66
44,Mathieu,30.78,13.93
45,Mayer,30.28,7.21
46,Zhang,30.26,11.17
47,Przysiezny,30.17,10.12
48,RogerVasselin,30.11,13.12
49,Zemlja,29.78,8.61
50,Klizan,29.77,13.24
51,Andreev,29.61,13.89
52,Haas,29.49,9.40
53,Tomic,29.26,15.23
54,Wang,29.23,11.96
55,Darcis,29.01,12.86
56,Nedovyesov,29.01,15.63
57,Ward,28.91,12.65
58,Ebden,28.71,11.88
59,Sock,28.41,12.88
60,Gulbis,28.24,10.95
61,Gabashvili,28.20,14.67
62,Sousa,27.77,10.71
63,Llodra,27.71,13.14
64,Chardy,27.50,9.37
65,Monaco,26.78,12.88
66,Zeballos,26.69,10.32
67,Reid,26.69,10.89
68,Stakhovsky,26.50,13.10
69,Hewitt,26.49,11.48
70,Volandri,26.10,13.30
71,Serra,26.09,14.76
