#,P1,Skill,Uncertainty
1,Berdych,43.76,5.31
2,Federer,43.44,5.26
3,Djokovic,41.99,6.88
4,Nadal,41.97,6.10
5,Wawrinka,41.56,6.28
6,Pospisil,40.26,7.90
7,Ferrer,40.18,9.26
8,Nishikori,38.78,8.87
9,Chardy,38.60,7.70
10,Mayer,38.39,8.26
11,Simon,37.33,9.17
12,Murray,35.95,9.37
13,Anderson,35.79,12.50
14,Verdasco,35.78,9.59
15,Robredo,35.55,9.87
16,Monfils,35.53,9.15
17,Young,35.48,10.27
18,Lopez,35.46,9.92
19,Tsonga,35.31,12.99
20,BautistaAgut,34.84,10.30
21,Gabashvili,34.70,8.82
22,Dodig,34.26,9.31
23,Tursunov,34.00,13.67
24,Raonic,33.63,10.96
25,Baghdatis,33.26,11.15
26,Soeda,33.10,13.07
27,Ebden,33.04,10.95
28,RogerVasselin,33.03,12.10
29,Youzhny,32.60,12.01
30,Seppi,32.57,10.95
31,Dimitrov,32.50,14.13
32,DelPotro,32.37,12.42
33,Janowicz,32.23,10.90
34,Cilic,31.64,10.20
35,Dolgopolov,31.54,10.91
36,Falla,31.46,9.24
37,Lajovic,31.39,11.62
38,Duckworth,31.30,9.93
39,Lacko,31.24,11.29
40,Giraldo,31.22,13.11
41,Fognini,31.14,13.83
42,DeSchepper,30.80,12.60
43,Istomin,30.44,14.32
44,Nieminen,29.90,14.14
45,Klizan,29.34,13.56
46,Kokkinakis,29.32,11.84
47,GimenoTraver,29.26,14.41
48,Przysiezny,29.18,13.29
49,Querrey,28.90,10.43
50,Dzumhur,28.87,12.70
51,Mannarino,28.69,13.51
52,Paire,28.58,11.51
53,Nedovyesov,28.34,11.30
54,Haase,27.89,12.15
55,Kavcic,27.44,11.55
56,Hewitt,26.27,14.83
57,Kudla,26.26,12.39
58,Bellucci,26.26,17.29
59,Rosol,26.16,14.25
60,Groth,26.12,12.75
61,Kyrgios,26.09,12.37
62,Silva,25.95,14.62
63,Zopp,25.79,14.00
64,Kuznetsov,25.75,14.54
65,Rochus,25.69,14.30
66,Tipsarevic,25.64,14.18
67,Schepper,25.61,14.49
68,Reynolds,25.60,14.52
69,Malisse,25.59,14.20
70,Riba,25.57,14.29
71,Olivetti,25.56,14.00
72,Robert,25.44,10.12
73,Reid,25.43,14.29
74,Alund,25.36,15.03
75,Zemlja,25.29,14.35
76,Cuevas,25.29,14.38
77,Agut,25.27,14.27
78,Altamirano,25.26,14.57
79,Rufin,25.25,14.31
80,Marchenko,25.24,14.46
81,Ward,25.23,14.19
82,Ram,25.22,14.83
83,Martin,25.20,14.31
84,Bakker,25.17,14.54
85,Edmund,25.16,14.57
86,Nava,25.15,14.38
87,Gicquel,25.11,13.96
88,Pella,25.09,14.60
89,Teixeira,25.05,14.40
90,Mathieu,25.04,14.21
91,Petzschner,25.04,14.39
92,Lorenzi,25.02,14.47
93,Goffin,25.01,14.55
94,Knittel,25.01,14.76
95,Bolelli,24.97,14.31
96,Elias,24.94,14.78
97,DutraSilva,24.93,14.54
98,Serra,24.92,14.60
99,HaiderMaurer,24.74,14.48
100,Kohlschreiber,24.70,14.24
101,Beck,24.67,14.37
102,Andreev,24.65,14.71
103,Evans,24.61,14.63
104,BogomolovJr,24.60,15.33
105,Fabbiano,24.58,14.67
106,Ungur,24.56,14.15
107,Blake,24.56,14.74
108,Darcis,24.55,14.59
109,Donskoy,24.53,14.33
110,Baker,24.53,14.50
111,Melzer,24.52,14.24
112,Bogomolov,24.49,14.46
113,Almagro,24.44,14.73
114,Levine,24.43,14.19
115,Troicki,24.38,14.17
116,Muller,24.35,14.30
117,DeBakker,24.30,14.53
118,Brown,24.18,14.21
119,Becker,24.02,13.94
120,Millot,23.90,13.39
121,Gasquet,23.77,15.93
122,Tomic,23.71,10.51
123,Thiem,23.59,14.90
124,Vesely,23.35,14.86
125,Montanes,23.29,14.11
126,Hajek,23.24,14.62
127,Gulbis,23.21,13.45
128,Russell,23.10,13.47
129,Llodra,22.78,13.09
130,Berrer,22.64,10.91
131,Benneteau,22.56,15.57
132,Karlovic,22.47,11.22
133,Haas,21.93,13.51
134,Struff,21.87,15.60
135,GarciaLopez,21.75,13.66
136,Devvarman,21.49,12.25
137,CarrenoBusta,21.43,11.33
138,HutaGalung,21.25,14.08
139,Davydenko,21.12,14.83
140,Berlocq,21.10,10.92
141,Dancevic,21.02,14.78
142,Sock,20.84,9.68
143,Pouille,20.63,14.39
144,Reister,20.63,16.35
145,Zhang,20.58,11.87
146,Zeballos,20.57,14.59
147,Ramos,20.50,12.74
148,Thompson,20.15,11.63
149,Delbonis,20.15,11.91
150,Williams,19.74,12.62
151,Harrison,19.72,12.06
152,Andujar,19.28,14.23
153,Stepanek,19.14,11.70
154,Sela,19.03,12.74
155,Klahn,18.94,13.82
156,Kamke,18.42,11.08
157,Granollers,18.39,9.37
158,Lu,18.03,10.30
159,Wang,17.69,13.85
160,Guez,17.51,13.78
161,Matosevic,17.04,13.00
162,Odesnik,16.93,10.21
163,Gonzalez,16.88,12.21
164,Gojowczyk,16.73,11.53
165,Mahut,16.65,12.68
166,Wu,16.13,12.65
167,Rola,15.47,9.40
168,Johnson,15.46,9.88
169,Bedene,15.27,11.66
170,Volandri,15.00,11.89
171,Smyczek,14.99,12.54
172,Kubot,14.75,10.96
173,Stakhovsky,14.74,9.00
174,Sijsling,14.62,10.33
175,Monaco,13.64,10.87
176,Sousa,13.43,11.44
177,Hanescu,13.29,9.13
178,Brands,12.70,9.04
179,Kukushkin,11.89,8.00
180,Golubev,11.04,8.41
181,Isner,10.85,8.15
182,Berankis,9.43,6.71
